gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,total_score,average_score,math_pass,reading_pass,writing_pass,all_subjects_passed,grade,score_std,score_range,strongest_subject,weakest_subject
female,group d,associate's degree,free/reduced,completed,77,89,98,264,88.0,True,True,True,True,B,10.54,21,writing,math
male,group c,high school,standard,none,62,55,49,166,55.33,True,False,False,False,D,6.51,13,math,writing
male,group a,associate's degree,standard,none,54,53,47,154,51.33,False,False,False,False,D,3.79,7,math,writing
female,group d,some college,standard,none,51,58,54,163,54.33,False,False,False,False,D,3.51,7,reading,math
female,group e,bachelor's degree,standard,completed,99,100,100,299,99.67,True,True,True,True,A,0.58,1,reading,math
male,group c,high school,standard,none,84,77,74,235,78.33,True,True,True,True,C,5.13,10,math,writing
female,group b,bachelor's degree,free/reduced,none,75,85,82,242,80.67,True,True,True,True,B,5.13,10,reading,math
female,group d,bachelor's degree,standard,none,78,82,79,239,79.67,True,True,True,True,C,2.08,4,reading,math
female,group d,some high school,standard,none,51,63,61,175,58.33,False,True,True,False,D,6.43,12,reading,math
female,group c,some college,standard,none,55,69,65,189,63.0,False,True,True,False,D,7.21,14,reading,math
female,group c,bachelor's degree,standard,completed,79,92,89,260,86.67,True,True,True,True,B,6.81,13,reading,math
male,group b,associate's degree,standard,completed,91,89,92,272,90.67,True,True,True,True,A,1.53,3,writing,reading
female,group c,some college,standard,completed,88,93,93,274,91.33,True,True,True,True,A,2.89,5,reading,math
male,group d,high school,free/reduced,none,63,57,56,176,58.67,True,False,False,False,D,3.79,7,math,writing
male,group e,some college,standard,none,83,80,73,236,78.67,True,True,True,True,C,5.13,10,math,writing
female,group b,high school,standard,none,87,95,86,268,89.33,True,True,True,True,B,4.93,9,reading,writing
male,group b,some high school,standard,none,72,68,67,207,69.0,True,True,True,True,C,2.65,5,math,writing
male,group d,some college,standard,completed,65,77,74,216,72.0,True,True,True,True,C,6.24,12,reading,math
male,group d,master's degree,standard,none,82,82,74,238,79.33,True,True,True,True,C,4.62,8,math,writing
female,group a,bachelor's degree,standard,none,51,49,51,151,50.33,False,False,False,False,D,1.15,2,math,reading
male,group d,master's degree,standard,none,89,84,82,255,85.0,True,True,True,True,B,3.61,7,math,writing
male,group c,some high school,free/reduced,completed,53,37,40,130,43.33,False,False,False,False,F,8.5,16,math,reading
male,group e,some college,free/reduced,completed,87,74,70,231,77.0,True,True,True,True,C,8.89,17,math,writing
female,group c,some college,standard,completed,75,81,84,240,80.0,True,True,True,True,B,4.58,9,writing,math
male,group d,bachelor's degree,free/reduced,completed,74,79,75,228,76.0,True,True,True,True,C,2.65,5,reading,math
male,group c,bachelor's degree,standard,none,58,55,48,161,53.67,False,False,False,False,D,5.13,10,math,writing
male,group b,some high school,standard,completed,51,54,41,146,48.67,False,False,False,False,F,6.81,13,reading,writing
male,group e,high school,standard,none,70,55,56,181,60.33,True,False,False,False,D,8.39,15,math,reading
female,group c,associate's degree,standard,none,59,66,67,192,64.0,False,True,True,False,D,4.36,8,writing,math
male,group d,some college,standard,completed,71,61,69,201,67.0,True,True,True,True,C,5.29,10,math,reading
female,group d,some high school,standard,none,76,72,71,219,73.0,True,True,True,True,C,2.65,5,math,writing
female,group c,some college,free/reduced,none,59,62,64,185,61.67,False,True,True,False,D,2.52,5,writing,math
female,group e,some college,free/reduced,completed,42,55,54,151,50.33,False,False,False,False,D,7.23,13,reading,math
male,group a,high school,standard,none,57,43,47,147,49.0,False,False,False,False,F,7.21,14,math,reading
male,group d,some college,standard,none,88,73,78,239,79.67,True,True,True,True,C,7.64,15,math,reading
female,group c,some college,free/reduced,none,22,39,33,94,31.33,False,False,False,False,F,8.62,17,reading,math
male,group b,some high school,standard,none,88,84,75,247,82.33,True,True,True,True,B,6.66,13,math,writing
male,group c,associate's degree,free/reduced,none,73,68,66,207,69.0,True,True,True,True,C,3.61,7,math,writing
female,group d,bachelor's degree,standard,completed,68,75,81,224,74.67,True,True,True,True,C,6.51,13,writing,math
male,group e,associate's degree,free/reduced,completed,100,100,93,293,97.67,True,True,True,True,A,4.04,7,math,writing
male,group a,some high school,standard,completed,62,67,69,198,66.0,True,True,True,True,C,3.61,7,writing,math
male,group a,bachelor's degree,standard,none,77,67,68,212,70.67,True,True,True,True,C,5.51,10,math,reading
female,group b,associate's degree,standard,completed,59,70,66,195,65.0,False,True,True,False,C,5.57,11,reading,math
male,group d,bachelor's degree,standard,none,54,49,47,150,50.0,False,False,False,False,D,3.61,7,math,writing
male,group d,some high school,standard,none,62,67,61,190,63.33,True,True,True,True,D,3.21,6,reading,writing
female,group c,some college,standard,completed,70,89,88,247,82.33,True,True,True,True,B,10.69,19,reading,math
female,group e,high school,free/reduced,completed,66,74,78,218,72.67,True,True,True,True,C,6.11,12,writing,math
male,group b,some college,free/reduced,none,60,60,60,180,60.0,True,True,True,True,D,0.0,0,math,math
female,group b,associate's degree,standard,completed,61,86,87,234,78.0,True,True,True,True,C,14.73,26,writing,math
male,group d,associate's degree,free/reduced,none,66,62,64,192,64.0,True,True,True,True,D,2.0,4,math,reading
male,group b,associate's degree,free/reduced,completed,82,78,74,234,78.0,True,True,True,True,C,4.0,8,math,writing
female,group e,some college,free/reduced,completed,75,88,85,248,82.67,True,True,True,True,B,6.81,13,reading,math
male,group b,master's degree,free/reduced,none,49,53,52,154,51.33,False,False,False,False,D,2.08,4,reading,math
male,group c,high school,standard,none,52,53,49,154,51.33,False,False,False,False,D,2.08,4,reading,writing
female,group e,master's degree,standard,none,81,92,91,264,88.0,True,True,True,True,B,6.08,11,reading,math
female,group c,bachelor's degree,standard,completed,96,100,100,296,98.67,True,True,True,True,A,2.31,4,reading,math
male,group c,high school,free/reduced,completed,53,51,51,155,51.67,False,False,False,False,D,1.15,2,math,reading
female,group b,master's degree,free/reduced,completed,58,76,78,212,70.67,False,True,True,False,C,11.02,20,writing,math
female,group b,high school,standard,completed,68,83,78,229,76.33,True,True,True,True,C,7.64,15,reading,math
female,group c,some college,free/reduced,completed,67,75,70,212,70.67,True,True,True,True,C,4.04,8,reading,math
male,group a,high school,standard,completed,72,73,74,219,73.0,True,True,True,True,C,1.0,2,writing,math
male,group e,some high school,standard,none,94,88,78,260,86.67,True,True,True,True,B,8.08,16,math,writing
female,group d,some college,standard,none,79,86,81,246,82.0,True,True,True,True,B,3.61,7,reading,math
female,group c,associate's degree,standard,none,63,67,70,200,66.67,True,True,True,True,C,3.51,7,writing,math
female,group c,bachelor's degree,free/reduced,completed,43,51,54,148,49.33,False,False,False,False,F,5.69,11,writing,math
female,group c,master's degree,standard,completed,81,91,87,259,86.33,True,True,True,True,B,5.03,10,reading,math
female,group b,high school,free/reduced,completed,46,54,58,158,52.67,False,False,False,False,D,6.11,12,writing,math
female,group c,associate's degree,standard,completed,71,77,77,225,75.0,True,True,True,True,C,3.46,6,reading,math
female,group b,master's degree,free/reduced,completed,52,70,62,184,61.33,False,True,True,False,D,9.02,18,reading,math
female,group d,some high school,standard,completed,97,100,100,297,99.0,True,True,True,True,A,1.73,3,reading,math
male,group c,master's degree,free/reduced,completed,62,68,75,205,68.33,True,True,True,True,C,6.51,13,writing,math
female,group c,some college,free/reduced,none,46,64,66,176,58.67,False,True,True,False,D,11.02,20,writing,math
female,group e,high school,standard,none,50,50,47,147,49.0,False,False,False,False,F,1.73,3,math,writing
female,group d,associate's degree,standard,none,65,69,70,204,68.0,True,True,True,True,C,2.65,5,writing,math
male,group c,some high school,free/reduced,completed,45,52,49,146,48.67,False,False,False,False,F,3.51,7,reading,math
male,group c,associate's degree,free/reduced,completed,65,67,65,197,65.67,True,True,True,True,C,1.15,2,reading,math
male,group e,high school,standard,none,80,76,65,221,73.67,True,True,True,True,C,7.77,15,math,writing
male,group d,some high school,standard,completed,62,66,68,196,65.33,True,True,True,True,C,3.06,6,writing,math
male,group b,some high school,free/reduced,none,48,52,45,145,48.33,False,False,False,False,F,3.51,7,reading,writing
female,group c,bachelor's degree,standard,none,77,88,87,252,84.0,True,True,True,True,B,6.08,11,reading,math
female,group e,associate's degree,standard,none,66,65,69,200,66.67,True,True,True,True,C,2.08,4,writing,reading
male,group d,some college,standard,completed,76,83,79,238,79.33,True,True,True,True,C,3.51,7,reading,math
female,group b,some high school,standard,none,62,64,66,192,64.0,True,True,True,True,D,2.0,4,writing,math
male,group d,some college,standard,completed,77,62,62,201,67.0,True,True,True,True,C,8.66,15,math,reading
female,group c,master's degree,standard,completed,69,84,85,238,79.33,True,True,True,True,C,8.96,16,writing,math
male,group d,associate's degree,standard,none,61,55,52,168,56.0,True,False,False,False,D,4.58,9,math,writing
male,group c,some high school,free/reduced,completed,59,69,65,193,64.33,False,True,True,False,D,5.03,10,reading,math
male,group e,high school,free/reduced,none,55,56,51,162,54.0,False,False,False,False,D,2.65,5,reading,writing
female,group b,some college,free/reduced,none,45,53,55,153,51.0,False,False,False,False,D,5.29,10,writing,math
female,group b,bachelor's degree,free/reduced,none,78,79,76,233,77.67,True,True,True,True,C,1.53,3,reading,writing
female,group c,associate's degree,standard,completed,67,84,86,237,79.0,True,True,True,True,C,10.44,19,writing,math
female,group d,some college,free/reduced,none,65,81,77,223,74.33,True,True,True,True,C,8.33,16,reading,math
male,group c,associate's degree,standard,none,69,77,69,215,71.67,True,True,True,True,C,4.62,8,reading,math
female,group b,associate's degree,standard,none,57,69,68,194,64.67,False,True,True,False,D,6.66,12,reading,math
male,group c,some college,standard,none,59,41,42,142,47.33,False,False,False,False,F,10.12,18,math,reading
male,group d,some high school,standard,completed,74,71,78,223,74.33,True,True,True,True,C,3.51,7,writing,reading
male,group e,bachelor's degree,standard,none,82,62,62,206,68.67,True,True,True,True,C,11.55,20,math,reading
male,group e,high school,standard,completed,81,80,76,237,79.0,True,True,True,True,C,2.65,5,math,writing
female,group b,some college,free/reduced,none,74,81,76,231,77.0,True,True,True,True,C,3.61,7,reading,math
female,group b,some college,free/reduced,none,58,61,66,185,61.67,False,True,True,False,D,4.04,8,writing,math
male,group d,some high school,free/reduced,completed,80,79,79,238,79.33,True,True,True,True,C,0.58,1,math,reading
male,group c,some college,free/reduced,none,35,28,27,90,30.0,False,False,False,False,F,4.36,8,math,writing
female,group c,high school,free/reduced,none,42,62,60,164,54.67,False,True,True,False,D,11.02,20,reading,math
male,group c,associate's degree,free/reduced,completed,60,51,56,167,55.67,True,False,False,False,D,4.51,9,math,reading
male,group e,high school,standard,completed,87,91,81,259,86.33,True,True,True,True,B,5.03,10,reading,writing
male,group b,some high school,standard,completed,84,83,75,242,80.67,True,True,True,True,B,4.93,9,math,writing
female,group e,associate's degree,free/reduced,completed,83,86,88,257,85.67,True,True,True,True,B,2.52,5,writing,math
female,group c,high school,free/reduced,none,34,42,39,115,38.33,False,False,False,False,F,4.04,8,reading,math
male,group b,high school,free/reduced,none,66,77,70,213,71.0,True,True,True,True,C,5.57,11,reading,math
male,group b,some high school,standard,completed,61,56,56,173,57.67,True,False,False,False,D,2.89,5,math,reading
female,group d,high school,standard,completed,56,68,74,198,66.0,False,True,True,False,C,9.17,18,writing,math
male,group b,associate's degree,standard,none,87,85,73,245,81.67,True,True,True,True,B,7.57,14,math,writing
female,group c,some high school,free/reduced,none,55,65,62,182,60.67,False,True,True,False,D,5.13,10,reading,math
male,group d,some high school,standard,none,86,80,75,241,80.33,True,True,True,True,B,5.51,11,math,writing
female,group b,associate's degree,standard,completed,52,66,73,191,63.67,False,True,True,False,D,10.69,21,writing,math
female,group e,master's degree,free/reduced,none,45,56,54,155,51.67,False,False,False,False,D,5.86,11,reading,math
female,group c,some college,standard,none,72,72,71,215,71.67,True,True,True,True,C,0.58,1,math,writing
male,group d,high school,standard,none,57,50,54,161,53.67,False,False,False,False,D,3.51,7,math,reading
male,group a,some high school,free/reduced,none,68,72,64,204,68.0,True,True,True,True,C,4.0,8,reading,writing
female,group c,some college,standard,completed,88,95,94,277,92.33,True,True,True,True,A,3.79,7,reading,math
male,group d,some college,standard,none,76,64,66,206,68.67,True,True,True,True,C,6.43,12,math,reading
male,group c,associate's degree,standard,none,46,43,42,131,43.67,False,False,False,False,F,2.08,4,math,writing
female,group b,bachelor's degree,standard,none,67,86,83,236,78.67,True,True,True,True,C,10.21,19,reading,math
male,group e,some high school,standard,none,92,87,78,257,85.67,True,True,True,True,B,7.09,14,math,writing
male,group c,bachelor's degree,standard,completed,83,82,84,249,83.0,True,True,True,True,B,1.0,2,writing,reading
male,group d,associate's degree,standard,none,80,75,77,232,77.33,True,True,True,True,C,2.52,5,math,reading
male,group d,bachelor's degree,free/reduced,none,63,66,67,196,65.33,True,True,True,True,C,2.08,4,writing,math
female,group d,some high school,standard,completed,64,60,74,198,66.0,True,True,True,True,C,7.21,14,writing,reading
male,group b,some college,standard,none,54,52,51,157,52.33,False,False,False,False,D,1.53,3,math,writing
male,group c,associate's degree,standard,none,84,80,80,244,81.33,True,True,True,True,B,2.31,4,math,reading
male,group d,high school,free/reduced,completed,73,68,66,207,69.0,True,True,True,True,C,3.61,7,math,writing
female,group e,bachelor's degree,standard,none,80,83,83,246,82.0,True,True,True,True,B,1.73,3,reading,math
female,group d,high school,standard,none,56,52,55,163,54.33,False,False,False,False,D,2.08,4,math,reading
male,group e,some college,standard,none,59,51,43,153,51.0,False,False,False,False,D,8.0,16,math,writing
male,group d,some high school,standard,none,75,74,69,218,72.67,True,True,True,True,C,3.21,6,math,writing
male,group c,associate's degree,standard,none,85,76,71,232,77.33,True,True,True,True,C,7.09,14,math,writing
male,group e,associate's degree,standard,none,89,76,74,239,79.67,True,True,True,True,C,8.14,15,math,writing
female,group b,high school,standard,completed,58,70,68,196,65.33,False,True,True,False,C,6.43,12,reading,math
female,group b,high school,standard,none,65,64,62,191,63.67,True,True,True,True,D,1.53,3,math,writing
male,group c,high school,standard,none,68,60,53,181,60.33,True,True,False,False,D,7.51,15,math,writing
male,group a,some high school,standard,completed,47,49,49,145,48.33,False,False,False,False,F,1.15,2,reading,math
female,group d,some college,free/reduced,none,71,83,83,237,79.0,True,True,True,True,C,6.93,12,reading,math
female,group b,some high school,standard,completed,60,70,70,200,66.67,True,True,True,True,C,5.77,10,reading,math
male,group d,master's degree,standard,none,80,80,72,232,77.33,True,True,True,True,C,4.62,8,math,writing
male,group d,high school,standard,none,54,52,52,158,52.67,False,False,False,False,D,1.15,2,math,reading
female,group e,some college,standard,none,62,73,70,205,68.33,True,True,True,True,C,5.69,11,reading,math
female,group c,associate's degree,free/reduced,none,64,73,68,205,68.33,True,True,True,True,C,4.51,9,reading,math
male,group c,associate's degree,standard,completed,78,77,77,232,77.33,True,True,True,True,C,0.58,1,math,reading
female,group b,some college,standard,none,70,75,78,223,74.33,True,True,True,True,C,4.04,8,writing,math
female,group c,master's degree,free/reduced,completed,65,81,81,227,75.67,True,True,True,True,C,9.24,16,reading,math
female,group c,some high school,free/reduced,completed,64,79,77,220,73.33,True,True,True,True,C,8.14,15,reading,math
male,group c,some college,standard,completed,79,79,78,236,78.67,True,True,True,True,C,0.58,1,math,writing
female,group c,some high school,free/reduced,none,44,50,51,145,48.33,False,False,False,False,F,3.79,7,writing,math
female,group e,high school,standard,none,99,93,90,282,94.0,True,True,True,True,A,4.58,9,math,writing
male,group d,high school,standard,none,76,73,68,217,72.33,True,True,True,True,C,4.04,8,math,writing
male,group d,some high school,free/reduced,none,59,42,41,142,47.33,False,False,False,False,F,10.12,18,math,writing
female,group c,bachelor's degree,standard,none,63,75,81,219,73.0,True,True,True,True,C,9.17,18,writing,math
female,group d,high school,standard,none,69,72,77,218,72.67,True,True,True,True,C,4.04,8,writing,math
female,group d,associate's degree,standard,completed,88,92,95,275,91.67,True,True,True,True,A,3.51,7,writing,math
female,group e,some college,free/reduced,none,71,76,70,217,72.33,True,True,True,True,C,3.21,6,reading,writing
male,group c,bachelor's degree,standard,none,69,63,61,193,64.33,True,True,True,True,D,4.16,8,math,writing
male,group c,some college,standard,none,58,49,42,149,49.67,False,False,False,False,F,8.02,16,math,writing
female,group d,associate's degree,free/reduced,none,47,53,58,158,52.67,False,False,False,False,D,5.51,11,writing,math
female,group d,some college,standard,none,65,70,71,206,68.67,True,True,True,True,C,3.21,6,writing,math
male,group b,some college,standard,completed,88,85,76,249,83.0,True,True,True,True,B,6.24,12,math,writing
male,group c,bachelor's degree,standard,none,83,78,73,234,78.0,True,True,True,True,C,5.0,10,math,writing
female,group c,some high school,standard,completed,85,92,93,270,90.0,True,True,True,True,A,4.36,8,writing,math
female,group e,high school,standard,completed,59,63,75,197,65.67,False,True,True,False,C,8.33,16,writing,math
female,group c,some high school,free/reduced,none,65,86,80,231,77.0,True,True,True,True,C,10.82,21,reading,math
male,group b,bachelor's degree,free/reduced,none,73,56,57,186,62.0,True,False,False,False,D,9.54,17,math,reading
male,group d,high school,standard,none,53,52,42,147,49.0,False,False,False,False,F,6.08,11,math,writing
